,name,address,latitude,longitude
0,Augustas & Barbora love story café,"Stiklių g. 7, 01131 Vilnius ",54.6799663,25.2685539
1,Vero Cafe (Her Excellency),"Gedimino pr. 44a, 01400 Vilnius ",54.6890089,25.2502946
2,Le Café,"Universiteto g. 14, 01122 Vilnius ",54.684652,25.2677196
3,Taste Map Coffee Roasters,"M. K. Čiurlionio g. 8, 03104 Vilnius ",54.6822972,25.2473398
4,Cafe Montmartre,"Didžioji g. 40, 01127 Vilnius ",54.6767434,25.2703164
5,Eskedar,"Pilies g. 26, 01123 Vilnius ",54.6767434,25.2703164
6,Šiuolaikinio meno centro kavinė,"Vokiečių g. 2, 01130 Vilnius ",54.6767434,25.2703164
7,Caif Cafe,"g 01136, Pylimo g. 50, 01136 Vilnius ",54.6755723,25.265527
8,Vero Cafe,"Gedimino pr. 1, 01103 Vilnius ",54.6862567,25.2673809
9,Strange Love,"Barboros Radvilaitės g. 6B, 01143 Vilnius ",54.6862567,25.2673809
10,Caffeine LT,"Pilies g. 3, 01123 Vilnius ",54.6841261,25.2713573
11,Elska coffee,"Pamėnkalnio g. 1, 01116 Vilnius ",54.6841261,25.2713573
12,Pylimo KIRAS,"Pylimo g. 21B, 01141 Vilnius ",54.6847998,25.2592344
13,Vero Cafe,"Upės g. 9, 09308 Vilnius ",54.6938294,25.2583841
14,KIRAS,"Totorių g. 7, 01121 Vilnius ",54.6938294,25.2583841
15,Coffee spells,"Pylimo g. 38c, 01308 Vilnius ",54.6763229,25.2636452
16,Coffee1,"Užupio g. 9, 01201 Vilnius ",54.6763229,25.2636452
17,Backstage Roastery Cafe,"T.Ševčenkos g. 16h, 03229 Vilnius ",54.6747985,25.2480162
18,Italala Caffè,"Vokiečių g. 1, 01130 Vilnius ",54.6785822,25.2679201
19,2D Café,"Vokiečių g. 8, 01130 Vilnius ",54.6785822,25.2679201
20,Backstage Cafe Vokiečių str.,"Vokiečių g. 6, 01130 Vilnius ",54.6785822,25.2679201
21,Kristupo Kavinė,"Pilies g. 24, 01123 Vilnius ",54.6785822,25.2679201
22,Art Cafe,"A. Goštauto g. 8, 01122 Vilnius ",54.6785822,25.2679201
23,Vero Cafe,"Aukštaičių g. 12, 11341 Vilnius ",54.6933538,25.2514925
24,Café Vilnius,"T. Ševčenkos g. 16I, 03111 Vilnius ",54.6765034,25.2476877
25,Pilies kepyklėlė,"Pilies g. 19, 01513 Vilnius ",54.6829304,25.2710274
26,BREW. Specialty Coffee,"Pylimo g. 19, 01141 Vilnius ",54.6790189,25.2600132
27,Coffee Circus Piano,"Mėsinių g. 3, 01133 Vilnius ",54.6775769,25.2662571
28,dolcevita ristoshop,"Rūdninkų g. 12, 01135 Vilnius ",54.6775769,25.2662571
29,Kava Tau,"Subačiaus g., 11350 Vilnius ",54.6775769,25.2662571
30,Caif Cafe,"Konstitucijos pr. 16, 09309 Vilnius ",54.6937761,25.257783
31,Julius Meinl,"Vilniaus g. 10, 01402 Vilnius ",54.6865259,25.2616865
32,VERO CAFE,"Gedimino pr. 27, 01105 Vilnius ",54.6880271,25.256959
33,Kavos era,"Savanorių pr. 6, 03116 Vilnius ",54.6786167,25.2399899
34,Caif cafe,"Gedimino pr. 3a, 01103 Vilnius ",54.6864757,25.2659055
35,Café Who hit John,"Dominikonų g. 15, 01131 Vilnius ",54.6864757,25.2659055
36,Vero Cafe,"Savanorių pr. 6b, 03116 Vilnius ",54.6864757,25.2659055
37,Numei,"Gedimino pr. 12, 01103 Vilnius ",54.6866676,25.263749
38,Joffe’s duonine,"V. Šopeno g. 10, 03210 Vilnius ",54.6722095,25.2626495
39,Vero Cafe,"Pilies g. 9, 01124 Vilnius ",54.6839136,25.271553
40,Caffeine LT,"Vokiečių g. 18, 01130 Vilnius ",54.6791773,25.2657156
41,Caffeine LT,"Didžioji g. 10, 01128 Vilnius ",54.6801678,25.2707064
42,The Gallery Cafe,"Gedimino pr. 9-3 floor, 01103 Vilnius ",54.6872407,25.2638224
43,Beigelistai,"Literatų g. 7, 01125 Vilnius ",54.6820864,25.2724363
44,Stories Cafe,"Nemenčinės pl. 4c, 10109 Vilnius ",54.7242807,25.3028205
45,Caif cafe,"Gedimino pr. 24, 01103 Vilnius ",54.6875775,25.2586255
46,Crooked Nose & Coffee Stories,"V. Kudirkos g. 6, 03105 Vilnius ",54.683574,25.2462783
47,Kavos Stotelė - Caff Like,"Gedimino pr. 18, 01103 Vilnius ",54.683574,25.2462783
48,Vero Cafe,"Žalgirio stadionas, Rinktinės g. 3, 09200 Vilnius ",54.6945472,25.2707338
49,Pinavija,"Vilniaus g. 21, 01402 Vilnius ",54.685725,25.2613106
50,Joy Café,"Vasario 16-osios g. 8, 01107 Vilnius ",54.6901388,25.2550966
51,Boho Cafe,"T. Kosciuškos g. 21-2a, 01100 Vilnius ",54.6927839,25.2856346
52,Depeche coffee,"Gedimino pr. 2, 01103 Vilnius ",54.6927839,25.2856346
53,Fionos Cukrainė,"Pilies g. 7, 01403 Vilnius ",54.6862269,25.2662875
